Season,Absence/Suspension,competition,from,until,Days,Games missed,player,url
11/12,Red card suspension,Bundesliga,"Oct 16, 2011","Oct 24, 2011",8 Tage,1,Ralf Fährmann,/ralf-fahrmann/profil/spieler/39015
16/17,Red card suspension,Premier League,"Apr 27, 2017","May 14, 2017",17 Tage,3,Marouane Fellaini,/marouane-fellaini/profil/spieler/39679
16/17,Yellow card suspension,World Cup qualification Europe,"Oct 10, 2016","Oct 13, 2016",3 Tage,1,Marouane Fellaini,/marouane-fellaini/profil/spieler/39679
15/16,Suspension through sports court,Premier League,"May 5, 2016","May 16, 2016",11 Tage,3,Marouane Fellaini,/marouane-fellaini/profil/spieler/39679
15/16,Red card suspension,Premier League,"May 25, 2015","Aug 24, 2015",91 Tage,3,Marouane Fellaini,/marouane-fellaini/profil/spieler/39679
13/14,Indirect card suspension,UEFA Champions League,"Nov 7, 2013","Nov 28, 2013",21 Tage,1,Marouane Fellaini,/marouane-fellaini/profil/spieler/39679
13/14,Yellow card suspension,World Cup qualification Europe,"Oct 14, 2013","Oct 16, 2013",2 Tage,1,Marouane Fellaini,/marouane-fellaini/profil/spieler/39679
12/13,Red card suspension,Premier League,"Dec 17, 2012","Dec 31, 2012",14 Tage,3,Marouane Fellaini,/marouane-fellaini/profil/spieler/39679
10/11,Yellow card suspension,European Qualifiers,"Oct 6, 2011","Oct 8, 2011",2 Tage,1,Marouane Fellaini,/marouane-fellaini/profil/spieler/39679
09/10,Yellow card suspension,World Cup qualification Europe,"Sep 8, 2009","Sep 10, 2009",2 Tage,1,Marouane Fellaini,/marouane-fellaini/profil/spieler/39679
08/09,Olympic games,Jupiler Pro League,"Aug 7, 2008","Aug 14, 2008",7 Tage,-,Marouane Fellaini,/marouane-fellaini/profil/spieler/39679
07/08,Yellow card suspension,European Qualifiers,"Oct 12, 2007","Oct 14, 2007",2 Tage,1,Marouane Fellaini,/marouane-fellaini/profil/spieler/39679
07/08,Indirect card suspension,European Qualifiers,"Aug 21, 2007","Aug 23, 2007",2 Tage,1,Marouane Fellaini,/marouane-fellaini/profil/spieler/39679
16/17,Yellow card suspension,Scottish Premiership,"Mar 12, 2017","Mar 21, 2017",9 Tage,1,Ben Heneghan,/ben-heneghan/profil/spieler/156939
15/16,Yellow card suspension,National League,"Nov 30, 2015","Dec 7, 2015",7 Tage,1,Ben Heneghan,/ben-heneghan/profil/spieler/156939
15/16,Red card suspension,National League,"Aug 23, 2015","Aug 30, 2015",7 Tage,1,Ben Heneghan,/ben-heneghan/profil/spieler/156939
19/20,special leave,,"Apr 1, 2020","Jun 30, 2020",90 Tage,?,André Schürrle,/andre-schurrle/profil/spieler/58205
15/16,Yellow card suspension,Bundesliga,"Apr 18, 2016","Apr 25, 2016",7 Tage,1,André Schürrle,/andre-schurrle/profil/spieler/58205
11/12,Red card suspension,Bundesliga,"Sep 19, 2011","Oct 3, 2011",14 Tage,2,André Schürrle,/andre-schurrle/profil/spieler/58205
12/13,Olympic games,,"Jul 12, 2012","Aug 12, 2012",31 Tage,-,Jack Cork,/jack-cork/profil/spieler/40613
20/21,Red card suspension,League One,"Apr 14, 2021","Apr 26, 2021",12 Tage,3,Josh Harrop,/josh-harrop/profil/spieler/289844
17/18,Red card suspension,Championship,"Feb 5, 2018","Feb 21, 2018",16 Tage,3,Sergi Canós,/sergi-canos/profil/spieler/251845
18/19,Yellow card suspension,LaLiga,"Apr 5, 2019","Apr 8, 2019",3 Tage,1,Guido Carrillo,/guido-carrillo/profil/spieler/184672
17/18,Yellow card suspension,Bundesliga,"Feb 26, 2018","Mar 5, 2018",7 Tage,1,Panagiotis Retsos,/panagiotis-retsos/profil/spieler/324351
16/17,Yellow card suspension,Super League 1,"Jan 30, 2017","Feb 6, 2017",7 Tage,1,Panagiotis Retsos,/panagiotis-retsos/profil/spieler/324351
16/17,Yellow card suspension,UEFA EURO U19 Championship Qualifiers,"Nov 17, 2016","Mar 23, 2017",126 Tage,1,Panagiotis Retsos,/panagiotis-retsos/profil/spieler/324351
16/17,Indirect card suspension,Super League 1,"Oct 17, 2016","Oct 24, 2016",7 Tage,1,Panagiotis Retsos,/panagiotis-retsos/profil/spieler/324351
21/22,Yellow card suspension,LaLiga,"Dec 11, 2021","Dec 19, 2021",8 Tage,1,Fernando,/fernando/profil/spieler/51174
19/20,Yellow card suspension,LaLiga,"Mar 2, 2020","Mar 8, 2020",6 Tage,1,Fernando,/fernando/profil/spieler/51174
19/20,Yellow card suspension,LaLiga,"Oct 31, 2019","Nov 2, 2019",2 Tage,1,Fernando,/fernando/profil/spieler/51174
18/19,Yellow card suspension,Europa League,"Feb 14, 2019","Feb 22, 2019",8 Tage,1,Fernando,/fernando/profil/spieler/51174
18/19,Yellow card suspension,Süper Lig,"Feb 2, 2019","Feb 11, 2019",9 Tage,1,Fernando,/fernando/profil/spieler/51174
18/19,Yellow card suspension,Süper Lig,"Dec 2, 2018","Dec 9, 2018",7 Tage,1,Fernando,/fernando/profil/spieler/51174
17/18,Yellow card suspension,Süper Lig,"Mar 17, 2018","Apr 2, 2018",16 Tage,1,Fernando,/fernando/profil/spieler/51174
17/18,Yellow card suspension,Süper Lig,"Nov 18, 2017","Nov 26, 2017",8 Tage,1,Fernando,/fernando/profil/spieler/51174
14/15,Yellow card suspension,Premier League,"Dec 29, 2014","Jan 2, 2015",4 Tage,1,Fernando,/fernando/profil/spieler/51174
20/21,special leave,,"May 30, 2021","Jun 3, 2021",4 Tage,-,Timo Werner,/timo-werner/profil/spieler/170527
14/15,Indirect card suspension,International Friendlies,"Nov 14, 2014","Nov 15, 2014",1 Tage,1,Timo Werner,/timo-werner/profil/spieler/170527
20/21,Indirect card suspension, ,"Jan 3, 2021","Jan 5, 2021",2 Tage,1,Matt Doherty,/matt-doherty/profil/spieler/171679
17/18,Indirect card suspension,Championship,"Mar 31, 2018","Apr 4, 2018",4 Tage,1,Matt Doherty,/matt-doherty/profil/spieler/171679
14/15,Red card suspension,Championship,"Dec 8, 2014","Dec 27, 2014",19 Tage,3,Matt Doherty,/matt-doherty/profil/spieler/171679
14/15,Called up to national team,Bundesliga,"Jan 5, 2015","Jan 26, 2015",21 Tage,-,Shinji Okazaki,/shinji-okazaki/profil/spieler/79642
08/09,Olympic games, ,"Aug 7, 2008","Aug 15, 2008",8 Tage,1,Shinji Okazaki,/shinji-okazaki/profil/spieler/79642
20/21,No eligibility,Championship,"Nov 2, 2020","Nov 4, 2020",2 Tage,1,Stewart Downing,/stewart-downing/profil/spieler/4063
17/18,Yellow card suspension,Eredivisie,"Dec 14, 2017","Dec 18, 2017",4 Tage,1,Joël Veltman,/joel-veltman/profil/spieler/111195
17/18,Yellow card suspension,Eredivisie,"Dec 14, 2017","Dec 17, 2017",3 Tage,1,Joël Veltman,/joel-veltman/profil/spieler/111195
16/17,Indirect card suspension,Europa League,"Apr 21, 2017","May 5, 2017",14 Tage,1,Joël Veltman,/joel-veltman/profil/spieler/111195
16/17,Yellow card suspension,Eredivisie,"Apr 3, 2017","Apr 6, 2017",3 Tage,1,Joël Veltman,/joel-veltman/profil/spieler/111195
16/17,Yellow card suspension,Europa League,"Feb 24, 2017","Mar 10, 2017",14 Tage,1,Joël Veltman,/joel-veltman/profil/spieler/111195
16/17,Indirect card suspension,Eredivisie,"Aug 8, 2016","Aug 15, 2016",7 Tage,1,Joël Veltman,/joel-veltman/profil/spieler/111195
14/15,Indirect card suspension,UEFA Champions League,"Nov 6, 2014","Nov 27, 2014",21 Tage,1,Joël Veltman,/joel-veltman/profil/spieler/111195
14/15,special leave,Johan Cruijff Schaal,"Jul 31, 2014","Aug 4, 2014",4 Tage,1,Joël Veltman,/joel-veltman/profil/spieler/111195
13/14,Indirect card suspension,KNVB beker,"Mar 27, 2014","Apr 21, 2014",25 Tage,1,Joël Veltman,/joel-veltman/profil/spieler/111195
13/14,Red card suspension,UEFA Champions League,"Nov 28, 2013","Dec 12, 2013",14 Tage,1,Joël Veltman,/joel-veltman/profil/spieler/111195
16/17,Suspended, ,"Apr 15, 2017","Jun 30, 2017",76 Tage,7,Marco Amelia,/marco-amelia/profil/spieler/16810
04/05,Suspension through sports court,Serie A,"Mar 29, 2005","Apr 21, 2005",23 Tage,3,Marco Amelia,/marco-amelia/profil/spieler/16810
16/17,Called up to national team, ,"Jan 2, 2017","Jan 26, 2017",24 Tage,5,Bakary Sako,/bakary-sako/profil/spieler/46791
14/15,Yellow card suspension,LaLiga,"Apr 10, 2015","Apr 14, 2015",4 Tage,1,James Rodríguez,/james-rodriguez/profil/spieler/88103
07/08,Red card suspension,Premier League,"Dec 21, 2007","Jan 1, 2008",11 Tage,3,Peter Crouch,/peter-crouch/profil/spieler/4072
20/21,Indirect card suspension,Bundesliga,"Feb 1, 2021","Feb 11, 2021",10 Tage,1,Markus Suttner,/markus-suttner/profil/spieler/31514
16/17,Yellow card suspension,Bundesliga,"Apr 17, 2017","Apr 24, 2017",7 Tage,1,Markus Suttner,/markus-suttner/profil/spieler/31514
16/17,Yellow card suspension,Bundesliga,"Dec 5, 2016","Dec 12, 2016",7 Tage,1,Markus Suttner,/markus-suttner/profil/spieler/31514
14/15,Yellow card suspension,Bundesliga,"Apr 6, 2015","Apr 13, 2015",7 Tage,1,Markus Suttner,/markus-suttner/profil/spieler/31514
13/14,Yellow card suspension,Bundesliga,"Mar 27, 2014","Mar 31, 2014",4 Tage,1,Markus Suttner,/markus-suttner/profil/spieler/31514
13/14,Indirect card suspension,UEFA Champions League Qualifying,"Aug 8, 2013","Aug 22, 2013",14 Tage,1,Markus Suttner,/markus-suttner/profil/spieler/31514
12/13,Yellow card suspension,ÖFB-Cup,"May 9, 2013","May 30, 2013",21 Tage,1,Markus Suttner,/markus-suttner/profil/spieler/31514
12/13,Yellow card suspension,Bundesliga,"Nov 12, 2012","Nov 19, 2012",7 Tage,1,Markus Suttner,/markus-suttner/profil/spieler/31514
11/12,Yellow card suspension,Bundesliga,"May 7, 2012","May 10, 2012",3 Tage,1,Markus Suttner,/markus-suttner/profil/spieler/31514
09/10,Red card suspension,Europa League,"Sep 18, 2009","Oct 23, 2009",35 Tage,2,Markus Suttner,/markus-suttner/profil/spieler/31514
07/08,Yellow card suspension,2. Liga,"Nov 29, 2007","Dec 3, 2007",4 Tage,1,Markus Suttner,/markus-suttner/profil/spieler/31514
07/08,Called up to national team,Bundesliga,"Jul 2, 2007","Jul 23, 2007",21 Tage,3,Markus Suttner,/markus-suttner/profil/spieler/31514
20/21,Indirect card suspension,Scottish Premiership,"Dec 24, 2020","Dec 28, 2020",4 Tage,1,Brandon Mason,/brandon-mason/profil/spieler/479942
13/14,Indirect card suspension,EFL Cup,"Aug 24, 2013","Aug 28, 2013",4 Tage,1,Tom Heaton,/tom-heaton/profil/spieler/34130
16/17,Yellow card suspension,Regionalliga Northeast,"Nov 14, 2016","Nov 21, 2016",7 Tage,1,Dennis Srbeny,/dennis-srbeny/profil/spieler/159239
15/16,Yellow card suspension,Regionalliga Northeast,"Feb 22, 2016","Feb 29, 2016",7 Tage,1,Dennis Srbeny,/dennis-srbeny/profil/spieler/159239
15/16,Red card suspension,Premier League,"Dec 20, 2015","Jan 3, 2016",14 Tage,3,Salomón Rondón,/salomon-rondon/profil/spieler/80197
13/14,Yellow card suspension,FA Cup,"Dec 2, 2013","Dec 9, 2013",7 Tage,1,Callum Wilson,/callum-wilson/profil/spieler/123682
17/18,No eligibility,Europa League,"Feb 1, 2018","Apr 13, 2018",71 Tage,6,Ademola Lookman,/ademola-lookman/profil/spieler/406040
14/15,Called up to national team,,"Jan 6, 2015","Feb 9, 2015",34 Tage,?,Seydou Doumbia,/seydou-doumbia/profil/spieler/75287
11/12,Called up to national team,,"Jan 6, 2012","Feb 12, 2012",37 Tage,-,Seydou Doumbia,/seydou-doumbia/profil/spieler/75287
11/12,Indirect card suspension,UEFA Champions League,"Nov 3, 2011","Nov 23, 2011",20 Tage,1,Seydou Doumbia,/seydou-doumbia/profil/spieler/75287
09/10,Suspension through sports court,Super League,"Oct 31, 2009","Nov 2, 2009",2 Tage,1,Seydou Doumbia,/seydou-doumbia/profil/spieler/75287
20/21,Indirect card suspension,Championship,"Oct 5, 2020","Oct 19, 2020",14 Tage,1,Lee Tomlin,/lee-tomlin/profil/spieler/104586
16/17,Yellow card suspension,Championship,"Sep 28, 2016","Oct 3, 2016",5 Tage,1,Lee Tomlin,/lee-tomlin/profil/spieler/104586
13/14,Red card suspension,,"Jan 27, 2014","Feb 10, 2014",14 Tage,?,Lee Tomlin,/lee-tomlin/profil/spieler/104586
13/14,Indirect card suspension, ,"Jan 13, 2014","Jan 20, 2014",7 Tage,2,Lee Tomlin,/lee-tomlin/profil/spieler/104586
13/14,Yellow card suspension,League One,"Dec 30, 2013","Jan 2, 2014",3 Tage,1,Lee Tomlin,/lee-tomlin/profil/spieler/104586
13/14,Red card suspension, ,"Oct 28, 2013","Nov 19, 2013",22 Tage,4,Lee Tomlin,/lee-tomlin/profil/spieler/104586
16/17,Indirect card suspension,Championship,"Apr 3, 2017","Apr 6, 2017",3 Tage,1,Dean Whitehead,/dean-whitehead/profil/spieler/13683
15/16,Suspension through sports court, ,"May 12, 2016","Aug 15, 2016",95 Tage,3,Dean Whitehead,/dean-whitehead/profil/spieler/13683
15/16,Yellow card suspension,Championship,"Nov 2, 2015","Nov 4, 2015",2 Tage,1,Dean Whitehead,/dean-whitehead/profil/spieler/13683
14/15,Red card suspension,Championship,"Sep 25, 2014","Oct 1, 2014",6 Tage,2,Dean Whitehead,/dean-whitehead/profil/spieler/13683
14/15,Red card suspension,EFL Cup,"Sep 22, 2014","Sep 24, 2014",2 Tage,1,Dean Whitehead,/dean-whitehead/profil/spieler/13683
13/14,Yellow card suspension,Championship,"Mar 31, 2014","Apr 9, 2014",9 Tage,2,Dean Whitehead,/dean-whitehead/profil/spieler/13683
13/14,Red card suspension,Championship,"Mar 3, 2014","Mar 10, 2014",7 Tage,1,Dean Whitehead,/dean-whitehead/profil/spieler/13683
13/14,Yellow card suspension,Championship,"Dec 30, 2013","Jan 2, 2014",3 Tage,1,Dean Whitehead,/dean-whitehead/profil/spieler/13683
10/11,Yellow card suspension,Premier League,"Oct 16, 2010","Oct 24, 2010",8 Tage,1,Dean Whitehead,/dean-whitehead/profil/spieler/13683
17/18,Yellow card suspension,Bundesliga,"Apr 30, 2018","May 7, 2018",7 Tage,1,Jannik Vestergaard,/jannik-vestergaard/profil/spieler/99331
17/18,Yellow card suspension,Bundesliga,"Apr 29, 2018","May 6, 2018",7 Tage,1,Jannik Vestergaard,/jannik-vestergaard/profil/spieler/99331
12/13,Yellow card suspension,Bundesliga,"May 5, 2013","May 12, 2013",7 Tage,1,Jannik Vestergaard,/jannik-vestergaard/profil/spieler/99331
14/15,Yellow card suspension,LaLiga,"Feb 9, 2015","Feb 17, 2015",8 Tage,1,Víctor Camarasa,/victor-camarasa/profil/spieler/263856
17/18,Red card suspension,EFL Cup,"Aug 7, 2017","Aug 9, 2017",2 Tage,1,Tiago Ilori,/tiago-ilori/profil/spieler/177859
16/17,Olympic games, ,"Jul 18, 2016","Aug 14, 2016",27 Tage,1,Tiago Ilori,/tiago-ilori/profil/spieler/177859
16/17,Yellow card suspension,Premier League,"Apr 9, 2017","Apr 23, 2017",14 Tage,2,Mark Noble,/mark-noble/profil/spieler/31835
16/17,Yellow card suspension,Premier League,"Nov 6, 2016","Nov 20, 2016",14 Tage,1,Mark Noble,/mark-noble/profil/spieler/31835
08/09,Indirect card suspension,Premier League,"Aug 24, 2008","Aug 1, 2008",23 Tage,1,Mark Noble,/mark-noble/profil/spieler/31835
20/21,Red card suspension,League One,"Mar 2, 2021","Mar 13, 2021",11 Tage,3,Sam Woods,/sam-woods/profil/spieler/611650
20/21,special leave, ,"Mar 3, 2021","Mar 12, 2021",9 Tage,3,David de Gea,/david-de-gea/profil/spieler/59377
12/13,Olympic games,,"Jul 12, 2012","Aug 12, 2012",31 Tage,-,David de Gea,/david-de-gea/profil/spieler/59377
19/20,Yellow card suspension,FA Cup,"Jan 2, 2020","Jan 6, 2020",4 Tage,1,Rico Henry,/rico-henry/profil/spieler/339556
18/19,Red card suspension,Bundesliga,"Mar 18, 2019","Apr 8, 2019",21 Tage,2,Cristian Cuevas,/cristian-cuevas/profil/spieler/186863
18/19,Yellow card suspension,Bundesliga,"Dec 2, 2018","Dec 10, 2018",8 Tage,1,Cristian Cuevas,/cristian-cuevas/profil/spieler/186863
18/19,No eligibility,Bundesliga,"Jul 24, 2018","Aug 9, 2018",16 Tage,2,Cristian Cuevas,/cristian-cuevas/profil/spieler/186863
17/18,Yellow card suspension,Eredivisie,"Apr 16, 2018","Apr 18, 2018",2 Tage,1,Cristian Cuevas,/cristian-cuevas/profil/spieler/186863
17/18,Indirect card suspension,Eredivisie,"Feb 8, 2018","Feb 12, 2018",4 Tage,1,Cristian Cuevas,/cristian-cuevas/profil/spieler/186863
17/18,Yellow card suspension,Eredivisie,"Dec 13, 2017","Dec 17, 2017",4 Tage,1,Cristian Cuevas,/cristian-cuevas/profil/spieler/186863
16/17,Yellow card suspension,Jupiler Pro League,"Feb 20, 2017","Feb 27, 2017",7 Tage,1,Cristian Cuevas,/cristian-cuevas/profil/spieler/186863
15/16,Yellow card suspension,Jupiler Pro League,"Mar 7, 2016","Mar 28, 2016",21 Tage,2,Cristian Cuevas,/cristian-cuevas/profil/spieler/186863
12/13,Red card suspension,U-20 World Cup 2013,"Jun 24, 2013","Jun 27, 2013",3 Tage,1,Cristian Cuevas,/cristian-cuevas/profil/spieler/186863
20/21,Indirect card suspension,2. Bundesliga,"Apr 23, 2021","Apr 27, 2021",4 Tage,1,Rajiv van La Parra,/rajiv-van-la-parra/profil/spieler/77001
17/18,Red card suspension, ,"Nov 28, 2017","Dec 11, 2017",13 Tage,3,Rajiv van La Parra,/rajiv-van-la-parra/profil/spieler/77001
16/17,Indirect card suspension,Championship,"Sep 26, 2016","Sep 28, 2016",2 Tage,1,Rajiv van La Parra,/rajiv-van-la-parra/profil/spieler/77001
13/14,Suspended,Eredivisie,"Mar 28, 2014","Mar 31, 2014",3 Tage,1,Rajiv van La Parra,/rajiv-van-la-parra/profil/spieler/77001
20/21,Called up to national team,Sydbank Pokalen,"Oct 6, 2020","Oct 9, 2020",3 Tage,1,Frederik Alves,/frederik-alves/profil/spieler/542690
21/22,Yellow card suspension,Super League 1,"Mar 5, 2022","Mar 7, 2022",2 Tage,1,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
20/21,No eligibility,Premier League,"Sep 12, 2020","Jan 13, 2021",123 Tage,18,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
19/20,Yellow card suspension,Premier League,"Dec 16, 2019","Dec 21, 2019",5 Tage,1,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
18/19,Yellow card suspension,Premier League,"Apr 8, 2019","Apr 22, 2019",14 Tage,2,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
18/19,Yellow card suspension,Premier League,"Dec 9, 2018","Dec 17, 2018",8 Tage,1,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
17/18,Yellow card suspension,Bundesliga,"May 7, 2018","May 14, 2018",7 Tage,1,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
17/18,Red card suspension,Bundesliga,"Oct 16, 2017","Oct 23, 2017",7 Tage,1,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
17/18,special leave,Bundesliga,"Jul 6, 2017","Jul 10, 2017",4 Tage,-,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
17/18,Yellow card suspension,World Cup qualification Europe,"Jun 8, 2017","Aug 31, 2017",84 Tage,1,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
16/17,Yellow card suspension,Bundesliga,"Apr 3, 2017","Apr 6, 2017",3 Tage,1,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
16/17,Indirect card suspension,DFB-Pokal,"Feb 9, 2017","Mar 16, 2017",35 Tage,1,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
14/15,Yellow card suspension,Bundesliga,"Nov 10, 2014","Nov 24, 2014",14 Tage,1,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
13/14,Indirect card suspension,Bundesliga,"Dec 9, 2013","Dec 16, 2013",7 Tage,1,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
13/14,special leave,,"Jul 4, 2013","Jul 4, 2013",0 Tage,-,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
12/13,Yellow card suspension,Bundesliga,"Mar 4, 2013","Mar 11, 2013",7 Tage,1,Sokratis Papastathopoulos,/sokratis-papastathopoulos/profil/spieler/34322
18/19,Red card suspension, ,"Jan 3, 2019","Jan 20, 2019",17 Tage,3,Robbie Brady,/robbie-brady/profil/spieler/128229
16/17,Red card suspension, ,"Dec 31, 2016","Jan 16, 2017",16 Tage,3,Robbie Brady,/robbie-brady/profil/spieler/128229
16/17,Yellow card suspension,World Cup qualification Europe,"Nov 13, 2016","Mar 25, 2017",132 Tage,?,Robbie Brady,/robbie-brady/profil/spieler/128229
21/22,Called up to national team,Serie A,"Jan 1, 2022","Jan 31, 2022",30 Tage,?,Jérémie Boga,/jeremie-boga/profil/spieler/216569
21/22,Called up to national team,Italy Cup,"Jan 1, 2022","Jan 31, 2022",30 Tage,?,Jérémie Boga,/jeremie-boga/profil/spieler/216569
18/19,Red card suspension,K League 1,"Apr 18, 2019","Apr 30, 2019",12 Tage,2,Jordon Mutch,/jordon-mutch/profil/spieler/57207
18/19,Yellow card suspension,Championship,"Apr 20, 2019","May 6, 2019",16 Tage,3,Jack Colback,/jack-colback/profil/spieler/61644
18/19,Yellow card suspension,Championship,"Jan 28, 2019","Feb 11, 2019",14 Tage,2,Jack Colback,/jack-colback/profil/spieler/61644
18/19,Yellow card suspension,Championship,"Oct 29, 2018","Nov 5, 2018",7 Tage,1,Jack Colback,/jack-colback/profil/spieler/61644
15/16,Yellow card suspension,Premier League,"Mar 21, 2016","Apr 10, 2016",20 Tage,2,Jack Colback,/jack-colback/profil/spieler/61644
15/16,Yellow card suspension,Premier League,"Oct 26, 2015","Nov 1, 2015",6 Tage,1,Jack Colback,/jack-colback/profil/spieler/61644
20/21,Suspended,EFL Trophy,"Sep 21, 2020","Sep 30, 2020",9 Tage,2,Herbie Kane,/herbie-kane/profil/spieler/314253
20/21,Suspended,Premier League 2,"Sep 12, 2020","Sep 26, 2020",14 Tage,3,Herbie Kane,/herbie-kane/profil/spieler/314253
17/18,Suspension through sports court,Premier League,"Nov 21, 2017","Nov 30, 2017",9 Tage,2,Oumar Niasse,/oumar-niasse/profil/spieler/209781
14/15,Red card suspension,Premier Liga,"May 25, 2015","May 31, 2015",6 Tage,1,Oumar Niasse,/oumar-niasse/profil/spieler/209781
15/16,Yellow card suspension,Jupiler Pro League PlayOff I,"Mar 21, 2016","Mar 28, 2016",7 Tage,1,Steven Defour,/steven-defour/profil/spieler/33866
15/16,Yellow card suspension,Jupiler Pro League,"Mar 7, 2016","Mar 14, 2016",7 Tage,1,Steven Defour,/steven-defour/profil/spieler/33866
15/16,Yellow card suspension,Europa League,"Nov 27, 2015","Dec 11, 2015",14 Tage,1,Steven Defour,/steven-defour/profil/spieler/33866
14/15,Red card suspension,World Cup 2014,"Jun 30, 2014","Jul 2, 2014",2 Tage,1,Steven Defour,/steven-defour/profil/spieler/33866
07/08,Yellow card suspension,European Qualifiers,"Oct 12, 2007","Oct 14, 2007",2 Tage,1,Steven Defour,/steven-defour/profil/spieler/33866
21/22,Yellow card suspension,Super League,"Apr 19, 2022","Apr 25, 2022",6 Tage,1,Bruno Jordão,/bruno-jordao/profil/spieler/415646
18/19,Suspension through sports court, ,"Aug 23, 2018","Sep 2, 2018",10 Tage,3,Neal Maupay,/neal-maupay/profil/spieler/217115
17/18,Yellow card suspension,Championship,"Nov 28, 2017","Dec 4, 2017",6 Tage,1,Neal Maupay,/neal-maupay/profil/spieler/217115
15/16,Yellow card suspension,Ligue 1,"Mar 12, 2016","Mar 21, 2016",9 Tage,1,Bernardo Silva,/bernardo-silva/profil/spieler/241641
15/16,Yellow card suspension,EURO 2016,"Jul 4, 2016","Jul 7, 2016",3 Tage,1,Ben Davies,/ben-davies/profil/spieler/192765
21/22,No eligibility,Europa League,"Sep 3, 2021","Dec 10, 2021",98 Tage,6,James Justin,/james-justin/profil/spieler/413220
20/21,Called up to national team,EFL Cup,"Sep 1, 2020","Sep 10, 2020",9 Tage,1,Przemyslaw Placheta,/przemyslaw-placheta/profil/spieler/383109
19/20,Indirect card suspension,Championship,"Jun 29, 2020","Jul 1, 2020",2 Tage,1,Nick Powell,/nick-powell/profil/spieler/134424
20/21,Yellow card suspension,LaLiga,"Feb 20, 2021","Feb 21, 2021",1 Tage,1,Saúl Ñíguez,/saul-niguez/profil/spieler/148928
19/20,Yellow card suspension,LaLiga,"Jul 17, 2020","Jul 20, 2020",3 Tage,1,Saúl Ñíguez,/saul-niguez/profil/spieler/148928
19/20,Yellow card suspension,LaLiga,"Nov 11, 2019","Nov 24, 2019",13 Tage,1,Saúl Ñíguez,/saul-niguez/profil/spieler/148928
18/19,Yellow card suspension,LaLiga,"May 13, 2019","May 19, 2019",6 Tage,1,Saúl Ñíguez,/saul-niguez/profil/spieler/148928
18/19,Yellow card suspension,LaLiga,"Jan 7, 2019","Jan 14, 2019",7 Tage,1,Saúl Ñíguez,/saul-niguez/profil/spieler/148928
17/18,Yellow card suspension,LaLiga,"Dec 23, 2017","Jan 7, 2018",15 Tage,1,Saúl Ñíguez,/saul-niguez/profil/spieler/148928
13/14,Yellow card suspension,LaLiga,"Mar 11, 2014","Mar 16, 2014",5 Tage,1,Saúl Ñíguez,/saul-niguez/profil/spieler/148928
13/14,Yellow card suspension,LaLiga,"Dec 2, 2013","Dec 15, 2013",13 Tage,1,Saúl Ñíguez,/saul-niguez/profil/spieler/148928
13/14,Indirect card suspension,LaLiga,"Oct 21, 2013","Oct 26, 2013",5 Tage,1,Saúl Ñíguez,/saul-niguez/profil/spieler/148928
21/22,Yellow card suspension,LaLiga2,"Mar 30, 2022","Apr 6, 2022",7 Tage,1,Aleix García,/aleix-garcia/profil/spieler/261504
16/17,No eligibility,,"Apr 2, 2017","May 11, 2017",39 Tage,?,Mads Roerslev Rasmussen,/mads-roerslev-rasmussen/profil/spieler/391005
20/21,Called up to national team,,"May 31, 2021","Jun 14, 2021",14 Tage,-,Hee-chan Hwang,/hee-chan-hwang/profil/spieler/292246
19/20,No eligibility,UEFA Champions League,"Jul 15, 2020","Aug 31, 2020",47 Tage,2,Hee-chan Hwang,/hee-chan-hwang/profil/spieler/292246
18/19,Called up to national team,2. Bundesliga,"Dec 28, 2018","Jan 28, 2019",31 Tage,-,Hee-chan Hwang,/hee-chan-hwang/profil/spieler/292246
18/19,Called up to national team,,"Sep 5, 2018","Sep 13, 2018",8 Tage,-,Hee-chan Hwang,/hee-chan-hwang/profil/spieler/292246
18/19,Called up to national team,,"Aug 11, 2018","Sep 4, 2018",24 Tage,?,Hee-chan Hwang,/hee-chan-hwang/profil/spieler/292246
17/18,Yellow card suspension,Europa League,"Mar 16, 2018","Apr 6, 2018",21 Tage,1,Hee-chan Hwang,/hee-chan-hwang/profil/spieler/292246
16/17,Olympic games, ,"Aug 1, 2016","Aug 15, 2016",14 Tage,3,Hee-chan Hwang,/hee-chan-hwang/profil/spieler/292246
