season,injury,from,until,days,games,player,url
1819,Calf Injury,2018-10-15,2018-10-19,4,,Stuart Armstrong,/stuart-armstrong/profil/spieler/130765
1819,Knock,2018-08-13,2018-08-17,4,,Stuart Armstrong,/stuart-armstrong/profil/spieler/130765
1819,Muscle Injury,2018-10-25,2018-10-31,6,1,Jack Harrison,/jack-harrison/profil/spieler/417346
1819,Muscle Injury,2018-10-10,2018-10-21,11,1,Jack Harrison,/jack-harrison/profil/spieler/417346
1819,Torn Muscle Fibre,2018-07-25,2018-08-26,32,5,Caglar Söyüncü,/caglar-soyuncu/profil/spieler/320141
1819,Unknown Injury,2018-11-02,2019-03-09,127,31,Danny Drinkwater,/danny-drinkwater/profil/spieler/73491
1819,Knock,2019-01-20,2019-02-01,12,1,Josh Murphy,/josh-murphy/profil/spieler/199528
1819,Knock,2018-10-21,2018-10-26,5,,Josh Murphy,/josh-murphy/profil/spieler/199528
1819,Hamstring Injury,2018-08-26,2018-09-21,26,3,Josh Murphy,/josh-murphy/profil/spieler/199528
1819,Hamstring Injury,2019-04-20,2019-06-08,49,4,Miguel Almirón,/miguel-almiron/profil/spieler/272999
1819,Muscle Injury,2018-10-07,2018-10-31,24,2,Miguel Almirón,/miguel-almiron/profil/spieler/272999
1819,Unknown Injury,2018-10-07,2018-10-21,14,2,Islam Slimani,/islam-slimani/profil/spieler/174915
1819,Ankle Injury,2019-04-24,2019-04-26,2,,Ryan Bertrand,/ryan-bertrand/profil/spieler/40611
1819,Back Injury,2018-11-11,2019-02-01,82,15,Ryan Bertrand,/ryan-bertrand/profil/spieler/40611
1819,Ill,2019-04-21,2019-05-03,12,1,Jamaal Lascelles,/jamaal-lascelles/profil/spieler/183318
1819,Knee Injury,2019-03-10,2019-03-31,21,1,Jamaal Lascelles,/jamaal-lascelles/profil/spieler/183318
1819,Shoulder Injury,2018-11-04,2018-11-30,26,2,Jamaal Lascelles,/jamaal-lascelles/profil/spieler/183318
1819,Ankle Injury,2018-09-16,2018-09-21,5,,Jamaal Lascelles,/jamaal-lascelles/profil/spieler/183318
1819,Ankle Injury,2018-08-19,2018-08-31,12,2,Jamaal Lascelles,/jamaal-lascelles/profil/spieler/183318
1819,Ankle Injury,2018-09-23,2018-09-28,5,,DeAndre Yedlin,/deandre-yedlin/profil/spieler/255916
1819,Knee Injury,2018-08-12,2018-08-25,13,1,DeAndre Yedlin,/deandre-yedlin/profil/spieler/255916
1819,Knock,2019-03-31,2019-04-27,27,6,Ander Herrera,/ander-herrera/profil/spieler/99343
1819,Hip problems,2019-02-24,2019-03-16,20,6,Ander Herrera,/ander-herrera/profil/spieler/99343
1819,Knock,2018-09-30,2018-10-19,19,2,Ander Herrera,/ander-herrera/profil/spieler/99343
1819,Ankle Injury,2018-09-03,2018-09-24,21,3,Ander Herrera,/ander-herrera/profil/spieler/99343
1819,Hamstring Injury,2018-08-05,2018-08-18,13,1,Ander Herrera,/ander-herrera/profil/spieler/99343
1819,Knee Surgery,2018-12-29,2019-04-27,119,18,Alfie Mawson,/alfie-mawson/profil/spieler/287431
1819,Knee Injury,2018-06-14,2018-08-27,74,8,Alfie Mawson,/alfie-mawson/profil/spieler/287431
1819,Ankle Injury,2019-03-29,2019-05-31,63,8,Callum Paterson,/callum-paterson/profil/spieler/169555
1819,Knock,2019-01-13,2019-01-18,5,,Callum Paterson,/callum-paterson/profil/spieler/169555
1819,Knee Injury,2018-12-23,2018-12-28,5,1,Callum Paterson,/callum-paterson/profil/spieler/169555
1819,Shoulder Injury,2018-12-27,2019-01-18,22,4,Christian Kabasele,/christian-kabasele/profil/spieler/81512
1819,Back Injury,2019-04-11,2019-04-13,2,,Georginio Wijnaldum,/georginio-wijnaldum/profil/spieler/49499
1819,Knee Injury,2019-02-01,2019-02-08,7,1,Georginio Wijnaldum,/georginio-wijnaldum/profil/spieler/49499
1819,Knock,2019-01-13,2019-01-29,16,1,Georginio Wijnaldum,/georginio-wijnaldum/profil/spieler/49499
1819,Knock,2018-09-23,2018-09-28,5,1,Georginio Wijnaldum,/georginio-wijnaldum/profil/spieler/49499
1819,Hamstring Injury,2019-01-03,2019-02-06,34,7,Bernardo,/bernardo/profil/spieler/364258
1819,Hamstring Injury,2018-09-29,2018-10-27,28,5,Petr Cech,/petr-cech/profil/spieler/5658
1819,Calf Strain,2019-01-12,2019-01-30,18,4,Vicente Guaita,/vicente-guaita/profil/spieler/64399
1819,Hip Injury,2018-12-30,2019-01-11,12,2,Federico Fernández,/federico-fernandez/profil/spieler/85475
1819,Calf Strain,2018-12-10,2018-12-21,11,1,Federico Fernández,/federico-fernandez/profil/spieler/85475
1819,Hamstring Injury,2018-09-23,2018-10-05,12,1,Federico Fernández,/federico-fernandez/profil/spieler/85475
1819,Knock,2018-08-26,2018-09-15,20,2,Bernard,/bernard/profil/spieler/175169
