fixture_id,date,gameweek,home_team,away_team,season,tag,player_id
146,2024-12-08T14:00:00Z,15,IPS,BOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
147,2024-12-08T14:00:00Z,15,LEI,BHA,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
148,2024-12-08T16:30:00Z,15,TOT,CHE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
149,2024-12-09T20:00:00Z,15,WHU,WOL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
150,2024-12-14T15:00:00Z,16,ARS,EVE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
151,2024-12-14T15:00:00Z,16,LIV,FUL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
152,2024-12-14T15:00:00Z,16,NEW,LEI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
153,2024-12-14T15:00:00Z,16,WOL,IPS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
154,2024-12-14T17:30:00Z,16,NFO,AVL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
155,2024-12-15T14:00:00Z,16,BHA,CRY,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
156,2024-12-15T16:30:00Z,16,MCI,MUN,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
157,2024-12-15T19:00:00Z,16,CHE,BRE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
158,2024-12-15T19:00:00Z,16,SOU,TOT,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
159,2024-12-16T20:00:00Z,16,BOU,WHU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
160,2024-12-21T12:30:00Z,17,AVL,MCI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
161,2024-12-21T15:00:00Z,17,BRE,NFO,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
162,2024-12-21T15:00:00Z,17,IPS,NEW,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
163,2024-12-21T15:00:00Z,17,WHU,BHA,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
164,2024-12-21T17:30:00Z,17,CRY,ARS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
165,2024-12-22T14:00:00Z,17,EVE,CHE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
166,2024-12-22T14:00:00Z,17,FUL,SOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
167,2024-12-22T14:00:00Z,17,LEI,WOL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
168,2024-12-22T14:00:00Z,17,MUN,BOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
169,2024-12-22T16:30:00Z,17,TOT,LIV,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
170,2024-12-26T12:30:00Z,18,MCI,EVE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
171,2024-12-26T15:00:00Z,18,BOU,CRY,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
172,2024-12-26T15:00:00Z,18,CHE,FUL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
173,2024-12-26T15:00:00Z,18,NEW,AVL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
174,2024-12-26T15:00:00Z,18,NFO,TOT,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
175,2024-12-26T15:00:00Z,18,SOU,WHU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
176,2024-12-26T17:30:00Z,18,WOL,MUN,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
177,2024-12-26T20:00:00Z,18,LIV,LEI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
178,2024-12-27T19:30:00Z,18,BHA,BRE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
179,2024-12-27T20:15:00Z,18,ARS,IPS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
180,2024-12-29T14:30:00Z,19,LEI,MCI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
181,2024-12-29T15:00:00Z,19,CRY,SOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
182,2024-12-29T15:00:00Z,19,EVE,NFO,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
183,2024-12-29T15:00:00Z,19,FUL,BOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
184,2024-12-29T15:00:00Z,19,TOT,WOL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
185,2024-12-29T17:15:00Z,19,WHU,LIV,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
186,2024-12-30T19:45:00Z,19,AVL,BHA,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
187,2024-12-30T19:45:00Z,19,IPS,CHE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
188,2024-12-30T20:00:00Z,19,MUN,NEW,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
189,2025-01-01T17:30:00Z,19,BRE,ARS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
190,2025-01-04T12:30:00Z,20,TOT,NEW,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
191,2025-01-04T15:00:00Z,20,AVL,LEI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
192,2025-01-04T15:00:00Z,20,BOU,EVE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
193,2025-01-04T15:00:00Z,20,CRY,CHE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
194,2025-01-04T15:00:00Z,20,MCI,WHU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
195,2025-01-04T15:00:00Z,20,SOU,BRE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
196,2025-01-04T17:30:00Z,20,BHA,ARS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
197,2025-01-05T14:00:00Z,20,FUL,IPS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
198,2025-01-05T16:30:00Z,20,LIV,MUN,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
199,2025-01-06T20:00:00Z,20,WOL,NFO,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
200,2025-01-14T19:30:00Z,21,BRE,MCI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
201,2025-01-14T19:30:00Z,21,CHE,BOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
202,2025-01-14T19:30:00Z,21,WHU,FUL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
203,2025-01-14T20:00:00Z,21,NFO,LIV,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
204,2025-01-15T19:30:00Z,21,EVE,AVL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
205,2025-01-15T19:30:00Z,21,LEI,CRY,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
206,2025-01-15T19:30:00Z,21,NEW,WOL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
