season,details,reason,from,until,days,games,player,url
2122,Transferred to Ebbsfleet,Transfer,2022-01-31,2022-05-30,,,Louie Moulden,/louie-moulden/profil/spieler/444641
2122,Transferred to Tottenham U23,Transfer,2021-07-01,2021-08-06,,,Jamie Bowden,/jamie-bowden/profil/spieler/504051
2122,Transferred to Oldham Athletic,Transfer,2021-08-07,2022-01-09,,,Jamie Bowden,/jamie-bowden/profil/spieler/504051
2122,Transferred to Tottenham U23,Transfer,2022-01-10,2022-06-30,,,Jamie Bowden,/jamie-bowden/profil/spieler/504051
2122,Transferred to Ipswich U18,Transfer,2021-07-01,2021-07-22,,,Liam Gibbs,/liam-gibbs/profil/spieler/724785
2122,Transferred to Norwich U21,Transfer,2021-07-23,2022-06-30,,,Liam Gibbs,/liam-gibbs/profil/spieler/724785
2122,Transferred to Tottenham U23,Transfer,2021-07-01,2022-06-30,,,Maksim Paskotsi,/maksim-paskotsi/profil/spieler/488298
2122,Hamstring Injury,injury,2022-03-07,2022-04-07,31,5,Ryan Sessegnon,/ryan-sessegnon/profil/spieler/392775
2122,Muscle Injury,injury,2021-12-21,2022-01-07,17,5,Ryan Sessegnon,/ryan-sessegnon/profil/spieler/392775
2122,Bruise,injury,2021-09-01,2021-11-14,74,14,Ryan Sessegnon,/ryan-sessegnon/profil/spieler/392775
2122,Thigh Problems,injury,2021-07-01,2021-08-15,45,1,Ryan Sessegnon,/ryan-sessegnon/profil/spieler/392775
2122,Transferred to Liverpool U23,Transfer,2021-07-01,2022-06-30,,,Tyler Morton,/tyler-morton/profil/spieler/618494
2122,Calf Injury,injury,2022-02-20,2022-04-21,60,9,Takehiro Tomiyasu,/takehiro-tomiyasu/profil/spieler/331560
2122,Transferred to Bologna,Transfer,2021-07-01,2021-08-30,,,Takehiro Tomiyasu,/takehiro-tomiyasu/profil/spieler/331560
2122,Transferred to Southampton B,Transfer,2021-07-01,2022-06-30,,,Kazeem Olaigbe,/kazeem-olaigbe/profil/spieler/565406
2122,Transferred to Sunderland,Transfer,2021-07-01,2021-07-11,,,Remi Matthews,/remi-matthews/profil/spieler/196722
2122,Knock,injury,2022-03-03,2022-04-11,39,7,Rúben Dias,/ruben-dias/profil/spieler/258004
2122,Unknown Injury,injury,2021-09-01,2021-09-28,27,5,Jonas Lössl,/jonas-lossl/profil/spieler/48870
2122,Transferred to FC Midtjylland,Transfer,2021-07-01,2021-12-31,,,Jonas Lössl,/jonas-lossl/profil/spieler/48870
2122,Transferred to FC Midtjylland,Transfer,2022-06-30,2022-06-30,,,Jonas Lössl,/jonas-lossl/profil/spieler/48870
