season,absence/suspension,competition,from,until,days,games,player,url
1819,No eligibility,Europa League Qualifying,2018-08-28,2018-08-31,3,1,Loris Karius,/loris-karius/profil/spieler/85864
1819,Indirect card suspension,Championship,2018-08-23,2018-08-27,4,1,Ashley Williams,/ashley-williams/profil/spieler/67355
1819,Red card suspension, ,2018-08-26,2018-09-17,22,3,Richarlison,/richarlison/profil/spieler/378710
1819,Yellow card suspension, ,2019-03-03,2019-03-17,14,2,Ryan Bennett,/ryan-bennett/profil/spieler/67252
1819,Red card suspension, ,2018-12-27,2019-01-07,11,3,Fabian Delph,/fabian-delph/profil/spieler/50362
1819,special leave,World Cup 2018,2018-06-29,2018-07-05,6,,Fabian Delph,/fabian-delph/profil/spieler/50362
1819,Called up to national team, ,2018-12-28,2019-01-26,29,7,Sung-yueng Ki,/sung-yueng-ki/profil/spieler/81796
1819,Red card suspension,Premier League,2018-12-03,2018-12-17,14,3,Étienne Capoue,/etienne-capoue/profil/spieler/63494
1819,special leave,Bundesliga,2019-04-05,2019-05-20,45,7,Takuma Asano,/takuma-asano/profil/spieler/245744
1819,Yellow card suspension,AFC Asian Cup 2019,2019-01-22,2019-01-25,3,1,Yoshinori Muto,/yoshinori-muto/profil/spieler/230541
1819,Called up to national team, ,2019-01-03,2019-02-03,31,7,Yoshinori Muto,/yoshinori-muto/profil/spieler/230541
1819,Yellow card suspension,Premier League,2018-12-09,2018-12-16,7,1,James Tomkins,/james-tomkins/profil/spieler/61592
1819,Red card suspension, ,2019-01-15,2019-01-30,15,3,Willy Boly,/willy-boly/profil/spieler/142310
1819,Yellow card suspension,Serie A,2019-05-21,2019-05-27,6,1,Marvin Zeegelaar,/marvin-zeegelaar/profil/spieler/92899
1819,Indirect card suspension,Serie A,2019-04-10,2019-04-14,4,1,Marvin Zeegelaar,/marvin-zeegelaar/profil/spieler/92899
1819,Yellow card suspension,Premier League,2018-12-27,2018-12-31,4,1,Matthew Lowton,/matthew-lowton/profil/spieler/102258
1819,Red card suspension,Premier League,2018-10-07,2018-11-04,28,3,Joe Ralls,/joe-ralls/profil/spieler/195680
1819,Called up to national team,LaLiga,2019-05-15,2019-05-22,7,1,Douglas Luiz,/douglas-luiz/profil/spieler/447661
1819,Yellow card suspension,LaLiga,2019-04-07,2019-04-15,8,1,Douglas Luiz,/douglas-luiz/profil/spieler/447661
1819,Red card suspension,Championship,2018-12-10,2018-12-17,7,1,Muhamed Besic,/muhamed-besic/profil/spieler/93905
1819,Indirect card suspension,Championship,2018-10-01,2018-10-03,2,1,Matthew Pennington,/matthew-pennington/profil/spieler/220755
1819,Red card suspension,UEFA Nations League C,2018-09-10,2018-10-14,34,1,Havard Nordtveit,/havard-nordtveit/profil/spieler/42234
1819,Red card suspension,International Friendlies,2019-03-28,2019-06-07,71,1,Miguel Almirón,/miguel-almiron/profil/spieler/272999
1819,Yellow card suspension,Süper Lig,2018-12-24,2019-01-22,29,1,Islam Slimani,/islam-slimani/profil/spieler/174915
1819,Indirect card suspension,Süper Lig,2018-10-28,2018-11-03,6,1,Islam Slimani,/islam-slimani/profil/spieler/174915
1819,No eligibility,UEFA Champions League Qualifying,2018-08-13,2018-08-15,2,1,Islam Slimani,/islam-slimani/profil/spieler/174915
1819,Yellow card suspension,Premier League,2018-11-11,2018-11-25,14,1,Ryan Bertrand,/ryan-bertrand/profil/spieler/40611
1819,Called up to national team, ,2019-01-05,2019-01-29,24,5,Alireza Jahanbakhsh,/alireza-jahanbakhsh/profil/spieler/213268
1819,Yellow card suspension,Premier League,2018-11-11,2018-11-26,15,1,Zanka,/zanka/profil/spieler/52059
1819,Indirect card suspension,Premier League,2018-11-01,2018-11-04,3,1,Mattéo Guendouzi,/matteo-guendouzi/profil/spieler/465830
1819,special leave,,2018-09-07,2018-09-09,2,,Leroy Sané,/leroy-sane/profil/spieler/192565
1819,Indirect card suspension,Premier League 2,2018-08-25,2018-09-01,7,1,Callum Slattery,/callum-slattery/profil/spieler/332342
1819,Yellow card suspension,Bundesliga,2019-03-25,2019-03-30,5,1,Dodi Lukébakio,/dodi-lukebakio/profil/spieler/303259
1819,Indirect card suspension,Premier League,2019-02-10,2019-02-27,17,1,Kurt Zouma,/kurt-zouma/profil/spieler/157509
1819,Red card suspension, ,2018-09-03,2018-09-26,23,3,Marcus Rashford,/marcus-rashford/profil/spieler/258923
1819,Yellow card suspension,LaLiga,2019-04-05,2019-04-08,3,1,Guido Carrillo,/guido-carrillo/profil/spieler/184672
1819,Red card suspension,Premier League,2019-05-05,2019-08-18,105,3,Heung-min Son,/heung-min-son/profil/spieler/91845
1819,Yellow card suspension,UEFA Champions League,2019-04-18,2019-05-01,13,1,Heung-min Son,/heung-min-son/profil/spieler/91845
1819,Called up to national team,,2019-03-11,2019-03-27,16,,Heung-min Son,/heung-min-son/profil/spieler/91845
1819,Called up to national team, ,2019-01-14,2019-01-28,14,3,Heung-min Son,/heung-min-son/profil/spieler/91845
1819,Called up to national team, ,2018-08-12,2018-09-12,31,3,Heung-min Son,/heung-min-son/profil/spieler/91845
1819,Indirect card suspension,Premier League,2019-01-20,2019-01-31,11,1,James Milner,/james-milner/profil/spieler/3333
